29,+,19,48
39,+,22,61
16,+,26,42
23,+,46,69
16,+,24,40
21,+,14,35
1,+,48,49
1,+,36,37
72,+,15,87
55,-,46,9
97,-,51,46
88,-,83,5
2,+,54,56
87,-,34,53
57,+,37,94
11,+,50,61
82,-,42,40
63,-,58,5
8,+,66,74
43,+,17,60
79,-,53,26
84,-,25,59
94,-,62,32
31,+,15,46
91,-,33,58
96,-,17,79
96,-,87,9
68,+,24,92
8,+,31,39
100,-,32,68
8,+,24,32
7,+,92,99
76,-,62,14
8,+,67,75
82,+,0,82
79,-,50,29
72,-,51,21
92,-,65,27
96,-,88,8
89,-,46,43
81,+,1,82
93,-,66,27
33,+,21,54
69,-,40,29
81,-,48,33
53,-,48,5
95,+,0,95
40,+,18,58
73,-,49,24
90,-,47,43
