98,-,73,25
84,-,66,18
96,-,74,22
81,-,69,12
79,-,28,51
99,-,58,41
89,-,14,75
65,-,48,17
99,-,77,22
84,-,74,10
62,-,44,18
75,-,42,33
99,-,49,50
89,-,77,12
81,-,54,27
83,-,38,45
87,-,83,4
80,-,74,6
100,-,62,38
77,-,29,48
85,-,40,45
70,-,31,39
61,-,49,12
100,-,4,96
90,-,45,45
97,-,89,8
98,-,24,74
99,-,63,36
91,-,84,7
75,-,42,33
76,-,49,27
65,-,56,9
82,-,64,18
83,-,18,65
87,-,87,0
86,-,83,3
80,-,30,50
100,-,3,97
73,-,36,37
99,-,15,84
88,-,45,43
96,-,66,30
95,-,76,19
83,-,31,52
93,-,92,1
90,-,80,10
85,-,38,47
85,-,75,10
93,-,35,58
92,-,91,1
