56,-,53,3
8,+,18,26
47,+,52,99
89,+,11,100
39,+,37,76
61,+,22,83
71,+,1,72
84,-,65,19
47,+,8,55
91,-,74,17
7,+,75,82
64,-,59,5
86,-,77,9
86,-,48,38
94,-,83,11
80,-,22,58
97,-,70,27
45,+,3,48
56,-,48,8
62,-,57,5
25,+,61,86
9,+,84,93
93,-,60,33
90,-,75,15
72,+,27,99
82,-,60,22
13,+,9,22
62,+,13,75
81,-,64,17
2,+,61,63
94,-,57,37
69,-,43,26
25,+,45,70
77,-,72,5
93,-,42,51
65,-,40,25
2,+,33,35
95,-,12,83
88,+,5,93
0,+,16,16
53,+,28,81
71,+,1,72
0,+,77,77
4,+,77,81
81,-,74,7
17,+,11,28
26,+,55,81
79,-,30,49
73,-,59,14
56,-,45,11
