26,-,8,18
72,-,71,1
79,-,41,38
32,-,17,15
56,+,27,83
9,+,65,74
81,+,19,100
43,+,4,47
23,+,37,60
54,+,37,91
80,-,3,77
100,-,90,10
76,-,14,62
3,+,68,71
15,-,15,0
26,+,59,85
84,-,73,11
78,-,3,75
49,+,50,99
71,+,20,91
78,-,49,29
58,-,47,11
24,-,7,17
18,-,2,16
71,+,5,76
8,-,3,5
41,-,36,5
8,-,0,8
56,-,32,24
56,-,15,41
50,+,40,90
17,-,6,11
79,-,0,79
61,+,18,79
70,-,57,13
63,+,29,92
47,+,20,67
84,-,18,66
56,+,13,69
89,+,7,96
27,-,21,6
92,-,22,70
61,-,4,57
72,-,70,2
18,+,62,80
66,-,49,17
84,+,3,87
23,+,18,41
28,-,27,1
10,-,5,5
88,-,71,17
64,-,22,42
13,+,38,51
98,-,0,98
86,-,68,18
91,-,22,69
27,-,19,8
55,-,42,13
83,+,7,90
90,-,16,74
40,-,30,10
97,-,2,95
13,+,27,40
53,-,48,5
72,-,65,7
12,+,65,77
31,-,21,10
52,+,26,78
60,+,19,79
39,-,15,24
22,-,11,11
84,+,11,95
68,+,10,78
18,+,65,83
46,+,22,68
19,-,5,14
38,+,5,43
81,-,43,38
19,+,70,89
85,+,7,92
70,-,48,22
76,-,61,15
81,-,25,56
25,-,22,3
44,-,12,32
25,+,6,31
82,-,5,77
21,-,0,21
9,-,9,0
15,-,6,9
94,+,5,99
45,+,21,66
59,+,28,87
81,+,14,95
99,-,70,29
60,+,30,90
55,+,33,88
67,+,6,73
11,+,55,66
7,+,20,27
